[2026-03-19T09:29:18.744+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897366.json to Snowflake stage
[2026-03-19T09:29:18.939+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897376.json to Snowflake stage
[2026-03-19T09:29:19.234+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897386.json to Snowflake stage
[2026-03-19T09:29:19.422+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897396.json to Snowflake stage
[2026-03-19T09:29:19.652+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897406.json to Snowflake stage
[2026-03-19T09:29:19.817+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897416.json to Snowflake stage
[2026-03-19T09:29:20.012+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897426.json to Snowflake stage
[2026-03-19T09:29:20.188+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897436.json to Snowflake stage
[2026-03-19T09:29:20.372+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897446.json to Snowflake stage
[2026-03-19T09:29:20.527+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897456.json to Snowflake stage
[2026-03-19T09:29:20.697+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897466.json to Snowflake stage
[2026-03-19T09:29:20.884+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897476.json to Snowflake stage
[2026-03-19T09:29:21.061+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897486.json to Snowflake stage
[2026-03-19T09:29:21.238+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897497.json to Snowflake stage
[2026-03-19T09:29:21.420+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897507.json to Snowflake stage
[2026-03-19T09:29:21.599+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897517.json to Snowflake stage
[2026-03-19T09:29:21.790+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897527.json to Snowflake stage
[2026-03-19T09:29:21.965+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897537.json to Snowflake stage
[2026-03-19T09:29:22.262+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897548.json to Snowflake stage
[2026-03-19T09:29:22.427+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897558.json to Snowflake stage
[2026-03-19T09:29:22.597+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897568.json to Snowflake stage
[2026-03-19T09:29:22.789+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897578.json to Snowflake stage
[2026-03-19T09:29:22.950+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897588.json to Snowflake stage
[2026-03-19T09:29:23.142+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897598.json to Snowflake stage
[2026-03-19T09:29:23.379+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897608.json to Snowflake stage
[2026-03-19T09:29:23.543+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897619.json to Snowflake stage
[2026-03-19T09:29:23.735+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897628.json to Snowflake stage
[2026-03-19T09:29:23.924+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897639.json to Snowflake stage
[2026-03-19T09:29:24.144+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897649.json to Snowflake stage
[2026-03-19T09:29:24.340+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897659.json to Snowflake stage
[2026-03-19T09:29:24.568+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897669.json to Snowflake stage
[2026-03-19T09:29:24.755+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897679.json to Snowflake stage
[2026-03-19T09:29:24.925+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897689.json to Snowflake stage
[2026-03-19T09:29:25.089+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897699.json to Snowflake stage
[2026-03-19T09:29:25.305+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897709.json to Snowflake stage
[2026-03-19T09:29:25.650+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897719.json to Snowflake stage
[2026-03-19T09:29:25.833+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897730.json to Snowflake stage
[2026-03-19T09:29:26.040+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897740.json to Snowflake stage
[2026-03-19T09:29:26.236+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897750.json to Snowflake stage
[2026-03-19T09:29:26.404+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897760.json to Snowflake stage
