[2026-03-19T09:56:28.202+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903866.json to Snowflake stage
[2026-03-19T09:56:28.326+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903876.json to Snowflake stage
[2026-03-19T09:56:28.445+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903886.json to Snowflake stage
[2026-03-19T09:56:28.592+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903897.json to Snowflake stage
[2026-03-19T09:56:28.773+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903907.json to Snowflake stage
[2026-03-19T09:56:28.907+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903917.json to Snowflake stage
[2026-03-19T09:56:29.044+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903927.json to Snowflake stage
[2026-03-19T09:56:29.156+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903937.json to Snowflake stage
[2026-03-19T09:56:29.283+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903947.json to Snowflake stage
[2026-03-19T09:56:29.515+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903958.json to Snowflake stage
[2026-03-19T09:56:29.634+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903968.json to Snowflake stage
[2026-03-19T09:56:29.755+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903978.json to Snowflake stage
[2026-03-19T09:56:29.881+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903988.json to Snowflake stage
[2026-03-19T09:56:30.011+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903999.json to Snowflake stage
[2026-03-19T09:56:30.125+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904009.json to Snowflake stage
[2026-03-19T09:56:30.245+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904019.json to Snowflake stage
[2026-03-19T09:56:30.362+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904029.json to Snowflake stage
[2026-03-19T09:56:30.395+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904039.json to Snowflake stage
[2026-03-19T09:56:30.525+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904049.json to Snowflake stage
[2026-03-19T09:56:30.677+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904059.json to Snowflake stage
[2026-03-19T09:56:30.848+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904069.json to Snowflake stage
[2026-03-19T09:56:30.972+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904079.json to Snowflake stage
[2026-03-19T09:56:31.091+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904089.json to Snowflake stage
[2026-03-19T09:56:31.211+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904099.json to Snowflake stage
[2026-03-19T09:56:31.383+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904109.json to Snowflake stage
[2026-03-19T09:56:31.528+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904119.json to Snowflake stage
[2026-03-19T09:56:31.653+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904129.json to Snowflake stage
